iRecordIndex,sToolName,iToolNum,sEssaiPartNum,sMaterial,sHolderName,sToolGroupName,dOHL,sOHL_letter,iRF,dGageLength,sToolManufacturer,sToolEdp,sToolCribLoc,dDia,dLoc,iFlt,dCnrR,dAng,sThread
2285,CU013002C,13002,800-502748-01A,CU,HSK63-ER16x100,CM,0.65,C,0,4.587,HARVEY,968615,A5,0.125,0.159,3,0,30,
2286,CU013002D,13002,800-502748-01A,CU,HSK63-ER16x100,CM,0.78,D,0,4.717,HARVEY,968615,A5,0.125,0.159,3,0,30,
2287,PG013002A,13002,800-502748-01A,PG,HSK63-ER16x100,CM,0.375,A,0,4.312,HARVEY,968615,A5,0.125,0.159,3,0,30,
2288,PG013002B,13002,800-502748-01A,PG,HSK63-ER16x100,CM,0.51,B,0,4.447,HARVEY,968615,A5,0.125,0.159,3,0,30,
2289,PG013002C,13002,800-502748-01A,PG,HSK63-ER16x100,CM,0.65,C,0,4.587,HARVEY,968615,A5,0.125,0.159,3,0,30,
2290,PG013002D,13002,800-502748-01A,PG,HSK63-ER16x100,CM,0.78,D,0,4.717,HARVEY,968615,A5,0.125,0.159,3,0,30,
2291,S1013003A,13003,800-502748-01A,S1,HSK63-ER32x100,CM,0.375,A,0,4.312,HARVEY,968615,A5,0.125,0.159,3,0,30,
2292,S1013003B,13003,800-502748-01A,S1,HSK63-ER32x100,CM,0.45,B,0,4.387,HARVEY,968615,A5,0.125,0.159,3,0,30,
2293,CU013003A,13003,800-502748-01A,CU,HSK63-ER32x100,CM,0.375,A,0,4.312,HARVEY,968615,A5,0.125,0.159,3,0,30,
2294,CU013003B,13003,800-502748-01A,CU,HSK63-ER32x100,CM,0.45,B,0,4.387,HARVEY,968615,A5,0.125,0.159,3,0,30,
2295,PG013003A,13003,800-502748-01A,PG,HSK63-ER32x100,CM,0.375,A,0,4.312,HARVEY,968615,A5,0.125,0.159,3,0,30,
2296,PG013003B,13003,800-502748-01A,PG,HSK63-ER32x100,CM,0.45,B,0,4.387,HARVEY,968615,A5,0.125,0.159,3,0,30,
2297,S1014012A,14012,800-502748-01A,S1,HSK63-ER16x100,CM,0.375,A,1,4.312,HARVEY,968615,A5,0.125,0.159,3,0,30,
2298,S1014012B,14012,800-502748-01A,S1,HSK63-ER16x100,CM,0.51,B,1,4.447,HARVEY,968615,A5,0.125,0.159,3,0,30,
2299,S1014012C,14012,800-502748-01A,S1,HSK63-ER16x100,CM,0.65,C,1,4.587,HARVEY,968615,A5,0.125,0.159,3,0,30,
2300,S1014012D,14012,800-502748-01A,S1,HSK63-ER16x100,CM,0.78,D,1,4.717,HARVEY,968615,A5,0.125,0.159,3,0,30,
2301,CU014012A,14012,800-502748-01A,CU,HSK63-ER16x100,CM,0.375,A,1,4.312,HARVEY,968615,A5,0.125,0.159,3,0,30,
2302,CU014012B,14012,800-502748-01A,CU,HSK63-ER16x100,CM,0.51,B,1,4.447,HARVEY,968615,A5,0.125,0.159,3,0,30,
2303,CU014012C,14012,800-502748-01A,CU,HSK63-ER16x100,CM,0.65,C,1,4.587,HARVEY,968615,A5,0.125,0.159,3,0,30,
2304,CU014012D,14012,800-502748-01A,CU,HSK63-ER16x100,CM,0.78,D,1,4.717,HARVEY,968615,A5,0.125,0.159,3,0,30,
2305,PG014012A,14012,800-502748-01A,PG,HSK63-ER16x100,CM,0.375,A,1,4.312,HARVEY,968615,A5,0.125,0.159,3,0,30,
2306,PG014012B,14012,800-502748-01A,PG,HSK63-ER16x100,CM,0.51,B,1,4.447,HARVEY,968615,A5,0.125,0.159,3,0,30,
2307,PG014012C,14012,800-502748-01A,PG,HSK63-ER16x100,CM,0.65,C,1,4.587,HARVEY,968615,A5,0.125,0.159,3,0,30,
2308,PG014012D,14012,800-502748-01A,PG,HSK63-ER16x100,CM,0.78,D,1,4.717,HARVEY,968615,A5,0.125,0.159,3,0,30,
2309,S1014013A,14013,800-502748-01A,S1,HSK63-ER32x100,CM,0.375,A,1,4.312,HARVEY,968615,A5,0.125,0.159,3,0,30,
2310,S1014013B,14013,800-502748-01A,S1,HSK63-ER32x100,CM,0.45,B,1,4.387,HARVEY,968615,A5,0.125,0.159,3,0,30,
2311,CU014013A,14013,800-502748-01A,CU,HSK63-ER32x100,CM,0.375,A,1,4.312,HARVEY,968615,A5,0.125,0.159,3,0,30,
2312,CU014013B,14013,800-502748-01A,CU,HSK63-ER32x100,CM,0.45,B,1,4.387,HARVEY,968615,A5,0.125,0.159,3,0,30,
2313,PG014013A,14013,800-502748-01A,PG,HSK63-ER32x100,CM,0.375,A,1,4.312,HARVEY,968615,A5,0.125,0.159,3,0,30,
2314,PG014013B,14013,800-502748-01A,PG,HSK63-ER32x100,CM,0.45,B,1,4.387,HARVEY,968615,A5,0.125,0.159,3,0,30,
2315,AL013004A,13004,800-502748-02A,AL,HSK63-ER16x100,CM,0.2,A,0,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2316,AL013004B,13004,800-502748-02A,AL,HSK63-ER16x100,CM,0.35,B,0,4.287,HARVEY,968630,A5,0.125,0.074,3,0,60,
2317,AL013004C,13004,800-502748-02A,AL,HSK63-ER16x100,CM,0.49,C,0,4.427,HARVEY,968630,A5,0.125,0.074,3,0,60,
2318,AL013004D,13004,800-502748-02A,AL,HSK63-ER16x100,CM,0.64,D,0,4.577,HARVEY,968630,A5,0.125,0.074,3,0,60,
2319,AL013004E,13004,800-502748-02A,AL,HSK63-ER16x100,CM,0.78,E,0,4.717,HARVEY,968630,A5,0.125,0.074,3,0,60,
2320,S1013004A,13004,800-502748-02A,S1,HSK63-ER16x100,CM,0.2,A,0,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2321,S1013004B,13004,800-502748-02A,S1,HSK63-ER16x100,CM,0.35,B,0,4.287,HARVEY,968630,A5,0.125,0.074,3,0,60,
2322,S1013004C,13004,800-502748-02A,S1,HSK63-ER16x100,CM,0.49,C,0,4.427,HARVEY,968630,A5,0.125,0.074,3,0,60,
2323,S1013004D,13004,800-502748-02A,S1,HSK63-ER16x100,CM,0.64,D,0,4.577,HARVEY,968630,A5,0.125,0.074,3,0,60,
2324,S1013004E,13004,800-502748-02A,S1,HSK63-ER16x100,CM,0.78,E,0,4.717,HARVEY,968630,A5,0.125,0.074,3,0,60,
2325,PG013004A,13004,800-502748-02A,PG,HSK63-ER16x100,CM,0.2,A,0,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2326,PG013004B,13004,800-502748-02A,PG,HSK63-ER16x100,CM,0.35,B,0,4.287,HARVEY,968630,A5,0.125,0.074,3,0,60,
2327,PG013004C,13004,800-502748-02A,PG,HSK63-ER16x100,CM,0.49,C,0,4.427,HARVEY,968630,A5,0.125,0.074,3,0,60,
2328,PG013004D,13004,800-502748-02A,PG,HSK63-ER16x100,CM,0.64,D,0,4.577,HARVEY,968630,A5,0.125,0.074,3,0,60,
2329,PG013004E,13004,800-502748-02A,PG,HSK63-ER16x100,CM,0.78,E,0,4.717,HARVEY,968630,A5,0.125,0.074,3,0,60,
2330,AL013005A,13005,800-502748-02A,AL,HSK63-ER32x100,CM,0.2,A,0,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2331,AL013005B,13005,800-502748-02A,AL,HSK63-ER32x100,CM,0.33,B,0,4.267,HARVEY,968630,A5,0.125,0.074,3,0,60,
2332,AL013005C,13005,800-502748-02A,AL,HSK63-ER32x100,CM,0.45,C,0,4.387,HARVEY,968630,A5,0.125,0.074,3,0,60,
2333,S1013005A,13005,800-502748-02A,S1,HSK63-ER32x100,CM,0.2,A,0,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2334,S1013005B,13005,800-502748-02A,S1,HSK63-ER32x100,CM,0.33,B,0,4.267,HARVEY,968630,A5,0.125,0.074,3,0,60,
2335,S1013005C,13005,800-502748-02A,S1,HSK63-ER32x100,CM,0.45,C,0,4.387,HARVEY,968630,A5,0.125,0.074,3,0,60,
2336,PG013005A,13005,800-502748-02A,PG,HSK63-ER32x100,CM,0.2,A,0,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2337,PG013005B,13005,800-502748-02A,PG,HSK63-ER32x100,CM,0.33,B,0,4.267,HARVEY,968630,A5,0.125,0.074,3,0,60,
2338,PG013005C,13005,800-502748-02A,PG,HSK63-ER32x100,CM,0.45,C,0,4.387,HARVEY,968630,A5,0.125,0.074,3,0,60,
2339,AL014014A,14014,800-502748-02A,AL,HSK63-ER16x100,CM,0.2,A,1,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2340,AL014014B,14014,800-502748-02A,AL,HSK63-ER16x100,CM,0.35,B,1,4.287,HARVEY,968630,A5,0.125,0.074,3,0,60,
2341,AL014014C,14014,800-502748-02A,AL,HSK63-ER16x100,CM,0.49,C,1,4.427,HARVEY,968630,A5,0.125,0.074,3,0,60,
2342,AL014014D,14014,800-502748-02A,AL,HSK63-ER16x100,CM,0.64,D,1,4.577,HARVEY,968630,A5,0.125,0.074,3,0,60,
2343,AL014014E,14014,800-502748-02A,AL,HSK63-ER16x100,CM,0.78,E,1,4.717,HARVEY,968630,A5,0.125,0.074,3,0,60,
2344,S1014014A,14014,800-502748-02A,S1,HSK63-ER16x100,CM,0.2,A,1,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2345,S1014014B,14014,800-502748-02A,S1,HSK63-ER16x100,CM,0.35,B,1,4.287,HARVEY,968630,A5,0.125,0.074,3,0,60,
2346,S1014014C,14014,800-502748-02A,S1,HSK63-ER16x100,CM,0.49,C,1,4.427,HARVEY,968630,A5,0.125,0.074,3,0,60,
2347,S1014014D,14014,800-502748-02A,S1,HSK63-ER16x100,CM,0.64,D,1,4.577,HARVEY,968630,A5,0.125,0.074,3,0,60,
2348,S1014014E,14014,800-502748-02A,S1,HSK63-ER16x100,CM,0.78,E,1,4.717,HARVEY,968630,A5,0.125,0.074,3,0,60,
2349,PG014014A,14014,800-502748-02A,PG,HSK63-ER16x100,CM,0.2,A,1,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2350,PG014014B,14014,800-502748-02A,PG,HSK63-ER16x100,CM,0.35,B,1,4.287,HARVEY,968630,A5,0.125,0.074,3,0,60,
2351,PG014014C,14014,800-502748-02A,PG,HSK63-ER16x100,CM,0.49,C,1,4.427,HARVEY,968630,A5,0.125,0.074,3,0,60,
2352,PG014014D,14014,800-502748-02A,PG,HSK63-ER16x100,CM,0.64,D,1,4.577,HARVEY,968630,A5,0.125,0.074,3,0,60,
2353,PG014014E,14014,800-502748-02A,PG,HSK63-ER16x100,CM,0.78,E,1,4.717,HARVEY,968630,A5,0.125,0.074,3,0,60,
2354,AL014015A,14015,800-502748-02A,AL,HSK63-ER32x100,CM,0.2,A,1,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2355,AL014015B,14015,800-502748-02A,AL,HSK63-ER32x100,CM,0.33,B,1,4.267,HARVEY,968630,A5,0.125,0.074,3,0,60,
2356,AL014015C,14015,800-502748-02A,AL,HSK63-ER32x100,CM,0.45,C,1,4.387,HARVEY,968630,A5,0.125,0.074,3,0,60,
2357,S1014015A,14015,800-502748-02A,S1,HSK63-ER32x100,CM,0.2,A,1,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2358,S1014015B,14015,800-502748-02A,S1,HSK63-ER32x100,CM,0.33,B,1,4.267,HARVEY,968630,A5,0.125,0.074,3,0,60,
2359,S1014015C,14015,800-502748-02A,S1,HSK63-ER32x100,CM,0.45,C,1,4.387,HARVEY,968630,A5,0.125,0.074,3,0,60,
2360,PG014015A,14015,800-502748-02A,PG,HSK63-ER32x100,CM,0.2,A,1,4.137,HARVEY,968630,A5,0.125,0.074,3,0,60,
2361,PG014015B,14015,800-502748-02A,PG,HSK63-ER32x100,CM,0.33,B,1,4.267,HARVEY,968630,A5,0.125,0.074,3,0,60,
2362,PG014015C,14015,800-502748-02A,PG,HSK63-ER32x100,CM,0.45,C,1,4.387,HARVEY,968630,A5,0.125,0.074,3,0,60,
2363,AL014016A,14016,800-501151,AL,HSK63-ER16x100,CM,0.35,A,1,4.287,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2364,AL014016B,14016,800-501151,AL,HSK63-ER16x100,CM,0.58,B,1,4.517,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2365,AL014016C,14016,800-501151,AL,HSK63-ER16x100,CM,0.82,C,1,4.757,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2366,AL014016D,14016,800-501151,AL,HSK63-ER16x100,CM,1.05,D,1,4.987,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2367,AL014016E,14016,800-501151,AL,HSK63-ER16x100,CM,1.28,E,1,5.217,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2368,S1014016A,14016,800-501151,S1,HSK63-ER16x100,CM,0.35,A,1,4.287,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2369,S1014016B,14016,800-501151,S1,HSK63-ER16x100,CM,0.58,B,1,4.517,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2370,S1014016C,14016,800-501151,S1,HSK63-ER16x100,CM,0.82,C,1,4.757,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2371,S1014016D,14016,800-501151,S1,HSK63-ER16x100,CM,1.05,D,1,4.987,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2372,S1014016E,14016,800-501151,S1,HSK63-ER16x100,CM,1.28,E,1,5.217,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2373,AL014017A,14017,800-501151,AL,HSK63-ER32x100,CM,0.35,A,1,4.287,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2374,AL014017B,14017,800-501151,AL,HSK63-ER32x100,CM,0.55,B,1,4.487,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2375,AL014017C,14017,800-501151,AL,HSK63-ER32x100,CM,0.75,C,1,4.687,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2376,AL014017D,14017,800-501151,AL,HSK63-ER32x100,CM,0.95,D,1,4.887,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2377,S1014017A,14017,800-501151,S1,HSK63-ER32x100,CM,0.35,A,1,4.287,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2378,S1014017B,14017,800-501151,S1,HSK63-ER32x100,CM,0.55,B,1,4.487,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2379,S1014017C,14017,800-501151,S1,HSK63-ER32x100,CM,0.75,C,1,4.687,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2380,S1014017D,14017,800-501151,S1,HSK63-ER32x100,CM,0.95,D,1,4.887,DESTINY,AS21290X,A5,0.1875,0.1624,2,0,90,
2381,AL014018A,14018,800-501696-01A,AL,HSK63-ER16x100,CM,0.45,A,1,4.387,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2382,AL014018B,14018,800-501696-01A,AL,HSK63-ER16x100,CM,0.66,B,1,4.597,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2383,AL014018C,14018,800-501696-01A,AL,HSK63-ER16x100,CM,0.87,C,1,4.807,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2384,AL014018D,14018,800-501696-01A,AL,HSK63-ER16x100,CM,1.07,D,1,5.007,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2385,AL014018E,14018,800-501696-01A,AL,HSK63-ER16x100,CM,1.28,E,1,5.217,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2386,PL014018A,14018,800-501696-01A,PL,HSK63-ER16x100,CM,0.45,A,1,4.387,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2387,PL014018B,14018,800-501696-01A,PL,HSK63-ER16x100,CM,0.66,B,1,4.597,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2388,PL014018C,14018,800-501696-01A,PL,HSK63-ER16x100,CM,0.87,C,1,4.807,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2389,PL014018D,14018,800-501696-01A,PL,HSK63-ER16x100,CM,1.07,D,1,5.007,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2390,PL014018E,14018,800-501696-01A,PL,HSK63-ER16x100,CM,1.28,E,1,5.217,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2391,PG014018A,14018,800-501696-01A,PG,HSK63-ER16x100,CM,0.45,A,1,4.387,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2392,PG014018B,14018,800-501696-01A,PG,HSK63-ER16x100,CM,0.66,B,1,4.597,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2393,PG014018C,14018,800-501696-01A,PG,HSK63-ER16x100,CM,0.87,C,1,4.807,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2394,PG014018D,14018,800-501696-01A,PG,HSK63-ER16x100,CM,1.07,D,1,5.007,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2395,PG014018E,14018,800-501696-01A,PG,HSK63-ER16x100,CM,1.28,E,1,5.217,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2396,AL014019A,14019,800-501696-01A,AL,HSK63-ER32x100,CM,0.45,A,1,4.387,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2397,AL014019B,14019,800-501696-01A,AL,HSK63-ER32x100,CM,0.62,B,1,4.557,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2398,AL014019C,14019,800-501696-01A,AL,HSK63-ER32x100,CM,0.78,C,1,4.717,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2399,AL014019D,14019,800-501696-01A,AL,HSK63-ER32x100,CM,0.95,D,1,4.887,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2400,PL014019A,14019,800-501696-01A,PL,HSK63-ER32x100,CM,0.45,A,1,4.387,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2401,PL014019B,14019,800-501696-01A,PL,HSK63-ER32x100,CM,0.62,B,1,4.557,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2402,PL014019C,14019,800-501696-01A,PL,HSK63-ER32x100,CM,0.78,C,1,4.717,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2403,PL014019D,14019,800-501696-01A,PL,HSK63-ER32x100,CM,0.95,D,1,4.887,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2404,PG014019A,14019,800-501696-01A,PG,HSK63-ER32x100,CM,0.45,A,1,4.387,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2405,PG014019B,14019,800-501696-01A,PG,HSK63-ER32x100,CM,0.62,B,1,4.557,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2406,PG014019C,14019,800-501696-01A,PG,HSK63-ER32x100,CM,0.78,C,1,4.717,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2407,PG014019D,14019,800-501696-01A,PG,HSK63-ER32x100,CM,0.95,D,1,4.887,DATA,CM20187-60,A5,0.1875,0.0938,2,0,60,
2408,AL014020A,14020,800-500918,AL,HSK63-ER16x100,CM,0.525,A,1,4.462,HARVEY,47630,A5,0.25,0.125,2,0,60,
2409,AL014020B,14020,800-500918,AL,HSK63-ER16x100,CM,0.84,B,1,4.777,HARVEY,47630,A5,0.25,0.125,2,0,60,
2410,AL014020C,14020,800-500918,AL,HSK63-ER16x100,CM,1.15,C,1,5.087,HARVEY,47630,A5,0.25,0.125,2,0,60,
2411,AL014020D,14020,800-500918,AL,HSK63-ER16x100,CM,1.47,D,1,5.407,HARVEY,47630,A5,0.25,0.125,2,0,60,
2412,AL014020E,14020,800-500918,AL,HSK63-ER16x100,CM,1.78,E,1,5.717,HARVEY,47630,A5,0.25,0.125,2,0,60,
2413,S1014020A,14020,800-500918,S1,HSK63-ER16x100,CM,0.525,A,1,4.462,HARVEY,47630,A5,0.25,0.125,2,0,60,
2414,S1014020B,14020,800-500918,S1,HSK63-ER16x100,CM,0.84,B,1,4.777,HARVEY,47630,A5,0.25,0.125,2,0,60,
2415,S1014020C,14020,800-500918,S1,HSK63-ER16x100,CM,1.15,C,1,5.087,HARVEY,47630,A5,0.25,0.125,2,0,60,
2416,S1014020D,14020,800-500918,S1,HSK63-ER16x100,CM,1.47,D,1,5.407,HARVEY,47630,A5,0.25,0.125,2,0,60,
2417,S1014020E,14020,800-500918,S1,HSK63-ER16x100,CM,1.78,E,1,5.717,HARVEY,47630,A5,0.25,0.125,2,0,60,
2418,PG014020A,14020,800-500918,PG,HSK63-ER16x100,CM,0.525,A,1,4.462,HARVEY,47630,A5,0.25,0.125,2,0,60,
2419,PG014020B,14020,800-500918,PG,HSK63-ER16x100,CM,0.84,B,1,4.777,HARVEY,47630,A5,0.25,0.125,2,0,60,
2420,PG014020C,14020,800-500918,PG,HSK63-ER16x100,CM,1.15,C,1,5.087,HARVEY,47630,A5,0.25,0.125,2,0,60,
2421,PG014020D,14020,800-500918,PG,HSK63-ER16x100,CM,1.47,D,1,5.407,HARVEY,47630,A5,0.25,0.125,2,0,60,
2422,PG014020E,14020,800-500918,PG,HSK63-ER16x100,CM,1.78,E,1,5.717,HARVEY,47630,A5,0.25,0.125,2,0,60,
2423,AL014021A,14021,800-500918,AL,HSK63-ER32x100,CM,0.525,A,1,4.462,HARVEY,47630,A5,0.25,0.125,2,0,60,
2424,AL014021B,14021,800-500918,AL,HSK63-ER32x100,CM,0.76,B,1,4.697,HARVEY,47630,A5,0.25,0.125,2,0,60,
2425,AL014021C,14021,800-500918,AL,HSK63-ER32x100,CM,0.99,C,1,4.927,HARVEY,47630,A5,0.25,0.125,2,0,60,
2426,AL014021D,14021,800-500918,AL,HSK63-ER32x100,CM,1.22,D,1,5.157,HARVEY,47630,A5,0.25,0.125,2,0,60,
2427,AL014021E,14021,800-500918,AL,HSK63-ER32x100,CM,1.45,E,1,5.387,HARVEY,47630,A5,0.25,0.125,2,0,60,
2428,S1014021A,14021,800-500918,S1,HSK63-ER32x100,CM,0.525,A,1,4.462,HARVEY,47630,A5,0.25,0.125,2,0,60,
2429,S1014021B,14021,800-500918,S1,HSK63-ER32x100,CM,0.76,B,1,4.697,HARVEY,47630,A5,0.25,0.125,2,0,60,
2430,S1014021C,14021,800-500918,S1,HSK63-ER32x100,CM,0.99,C,1,4.927,HARVEY,47630,A5,0.25,0.125,2,0,60,
2431,S1014021D,14021,800-500918,S1,HSK63-ER32x100,CM,1.22,D,1,5.157,HARVEY,47630,A5,0.25,0.125,2,0,60,
2432,S1014021E,14021,800-500918,S1,HSK63-ER32x100,CM,1.45,E,1,5.387,HARVEY,47630,A5,0.25,0.125,2,0,60,
2433,PG014021A,14021,800-500918,PG,HSK63-ER32x100,CM,0.525,A,1,4.462,HARVEY,47630,A5,0.25,0.125,2,0,60,
2434,PG014021B,14021,800-500918,PG,HSK63-ER32x100,CM,0.76,B,1,4.697,HARVEY,47630,A5,0.25,0.125,2,0,60,
2435,PG014021C,14021,800-500918,PG,HSK63-ER32x100,CM,0.99,C,1,4.927,HARVEY,47630,A5,0.25,0.125,2,0,60,
2436,PG014021D,14021,800-500918,PG,HSK63-ER32x100,CM,1.22,D,1,5.157,HARVEY,47630,A5,0.25,0.125,2,0,60,
2437,PG014021E,14021,800-500918,PG,HSK63-ER32x100,CM,1.45,E,1,5.387,HARVEY,47630,A5,0.25,0.125,2,0,60,
2438,AL014022A,14022,800-501024,AL,HSK63-ER16x100,CM,0.55,A,1,4.487,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2439,AL014022B,14022,800-501024,AL,HSK63-ER16x100,CM,0.86,B,1,4.797,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2440,AL014022C,14022,800-501024,AL,HSK63-ER16x100,CM,1.17,C,1,5.107,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2441,AL014022D,14022,800-501024,AL,HSK63-ER16x100,CM,1.47,D,1,5.407,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2442,AL014022E,14022,800-501024,AL,HSK63-ER16x100,CM,1.78,E,1,5.717,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2443,PL014022A,14022,800-501024,PL,HSK63-ER16x100,CM,0.55,A,1,4.487,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2444,PL014022B,14022,800-501024,PL,HSK63-ER16x100,CM,0.86,B,1,4.797,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2445,PL014022C,14022,800-501024,PL,HSK63-ER16x100,CM,1.17,C,1,5.107,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2446,PL014022D,14022,800-501024,PL,HSK63-ER16x100,CM,1.47,D,1,5.407,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2447,PL014022E,14022,800-501024,PL,HSK63-ER16x100,CM,1.78,E,1,5.717,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2448,PG014022A,14022,800-501024,PG,HSK63-ER16x100,CM,0.55,A,1,4.487,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2449,PG014022B,14022,800-501024,PG,HSK63-ER16x100,CM,0.86,B,1,4.797,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2450,PG014022C,14022,800-501024,PG,HSK63-ER16x100,CM,1.17,C,1,5.107,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2451,PG014022D,14022,800-501024,PG,HSK63-ER16x100,CM,1.47,D,1,5.407,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2452,PG014022E,14022,800-501024,PG,HSK63-ER16x100,CM,1.78,E,1,5.717,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2453,AL014023A,14023,800-501024,AL,HSK63-ER32x100,CM,0.55,A,1,4.487,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2454,AL014023B,14023,800-501024,AL,HSK63-ER32x100,CM,0.78,B,1,4.717,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2455,AL014023C,14023,800-501024,AL,HSK63-ER32x100,CM,1,C,1,4.937,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2456,AL014023D,14023,800-501024,AL,HSK63-ER32x100,CM,1.23,D,1,5.167,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2457,AL014023E,14023,800-501024,AL,HSK63-ER32x100,CM,1.45,E,1,5.387,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2458,PL014023A,14023,800-501024,PL,HSK63-ER32x100,CM,0.55,A,1,4.487,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2459,PL014023B,14023,800-501024,PL,HSK63-ER32x100,CM,0.78,B,1,4.717,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2460,PL014023C,14023,800-501024,PL,HSK63-ER32x100,CM,1,C,1,4.937,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2461,PL014023D,14023,800-501024,PL,HSK63-ER32x100,CM,1.23,D,1,5.167,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2462,PL014023E,14023,800-501024,PL,HSK63-ER32x100,CM,1.45,E,1,5.387,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2463,PG014023A,14023,800-501024,PG,HSK63-ER32x100,CM,0.55,A,1,4.487,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2464,PG014023B,14023,800-501024,PG,HSK63-ER32x100,CM,0.78,B,1,4.717,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
2465,PG014023C,14023,800-501024,PG,HSK63-ER32x100,CM,1,C,1,4.937,DESTINY,AS21682,A5,0.25,0.0335,2,0,82,
